0,1,2,3,4,5,6,7,8,9,10
Orderli,Maurits Franken,"Hi, I'm Maurits, one of the founders of Orderli. Before Orderli I did different sales from selling lottery tickets near stations to selling cider to restaurants. At Orderli I handle the marketing, sales and support side. Love to learn new people and learn new things, so let's meet up!",Dorus van den Oord,Dorus is the CEO and co-founder of Orderli. He has a degree in Strategic Product Design from Delft University of Technology and is a self-taught front-end developer.,Sven van der Zee,I am the co-founder & CTO of Orderli. Before Orderli I founded multiple startups and had a bit of success with an app called Sticker Studio getting 1m+ downloads within a week and over 17m downloads till date. Now I fully focus on the tech side of Orderli.,,,,
Suplias,Michael Adesanya,Nigerian Hustler with Stanford MBA,Stephen Igwue,Wand wielder,Sefa Ikyaator,CEO of Suplias | Retail Distribution Expert,,,,
Abhi,Omair Ansari,"An investment Banker by background with a 
particular focus on Emerging/Frontier equity market 
space, both public and private. Lived on the ground 
in over 8 countries, specifically in places like Lagos, 
Dubai, Bombay, Johannesburg, to name a few. He 
was a PM at Morgan Stanley running 2 funds with a 
focus on consumer and fintech.",Ali Ladhubhai,"Ali is an ex-banker who has held managerial roles in retail banking/ wealth management with HSBC and Samba Bank in Pakistan. Ali co-founded Karlocompare.com.pk, a financial services aggregator helping some of the largest financial institutions (banks and insurance companies) in Pakistan distribute their consumer finance products digitally. He subsequently moved to Foreepay (Pvt) Ltd, an accounts aggregator & payments company where he was leading the Business Development department.",,,,,,
Pandai,Akmal Akhpah,"CTO of Pandai.org, a K12 Edech for Southeast Asia",Khairul Anwar Mohamad Zaki,"CEO of Pandai.org

I spend most of my capacity in Technology and Business Development. I founded AidanTech, FlowyTeam, Borang.co. 

I am passionate in the education sector, having spent the past 14 years in various local and international educational initiatives.",Suhaimi Ramly,"I am based in Kuala Lumpur, Malaysia.

Since 2007, I have been involved in K12 education value chain including policy, curriculum design, content, assessment, pedagogy, training, R&D, tech, and talent development.

MIT Class of 2005 (SB, Math).",,,,
Verde,Lucas Martins,"Founded Verde to help Brazilian farmers grow their business through financal services.
I'm rancher and decided to follow this passion after spending half of my career with one of the leading fintech companies in Brazil, and the other half in investment banking.",Jorge Silveira,"As a grandson of farmers and software engineer for the past 20 years, founded Verde to combine my two greatest passions, agriculture and technology, to help small and medium farmers in Brazil.",,,,,,
Coinfeeds,Bhavya Bharat Agarwal,Moyi Dang,,,,,,,,
Baubap,Roberto Salcedo,"Cofounder and CEO at alternative lending fintech Baubap. Prior to founding Baubap, I was the CFO of a Mid Market Media Conglomerate with revenue >$100M and a Corporate Banking VP at Mexican Bank Invex. Earlier, I worked at HSBC where I designed and deployed the bank’s very first financial inclusion efforts 15 years ago to later be part of the Bank's Corporate Banking Executive Directory. Proud to hold a BA degree from UNAM and a Global Leadership diploma from Cambridge",Luis Villarreal,"Co-Founder and CTO @Baubap. Enthusiast and entrepreneur, passionate about helping people and making an impact in their life.
Building the bridge for financial freedom in Latin America.",,,,,,
Kapacity.io,Rami El Geneidy,"I'm technical co-founder of Kapacity.io. I am building the next big thing for the energy and real estate sector so we all could enjoy a less hot and more sustainable future. When I am not doing that, I enjoy runs, hiking and climbing.",Jaakko Rauhala,"Before starting Kapacity.io, I worked with energy markets and technologies in the Nordic countries and California. I have a background in energy engineering, but I quickly found myself shifting to the business side of the energy industry. We started Kapacity to get the most out of our abilities to combat climate change.

I also did a stint at the startup conference Slush, working as the head of the largest customer segment, startup companies.",Sonja Salo,"I've been working with building systems since 2016 when working in a Finnish smart heating startup. As Helsinki is the most northern capital in the world, we really do understand one or two things about heating. I fell in love with the aim and conducted a PhD on how to use IoT systems in a sustainable energy system. That work brought me also to UC Berkeley and close to its startup community. 

I'm enthusiastic about energy technology, genuine people and, well, basketball.",,,,
Plug,Thiago Garuti,"Majored in industrial engineering and started in the financial market working at some hedge funds in Rio de Janeiro for 8 years.
In 2015 I went to a venture builder called Finxi, began as a Project Manager and moved to Product.
In 2016 we founded Medicinae Solutions, which was a startup to advance health insurance receivables. There I was responsible for the product and development team. I stayed 3 years. Medicinae had an exit, it was sold to Afya, a NASDAQ listed company.",Marcel Nicolay,"Entrepreneur and passionate about technology, BS in Systems Analysis. 

More than 15 years of professional experience in technology and product development, started working as a software engineer, and then experience as technical lead, product, engineering manager, and technology director in big companies. Ran a technology consultant company for five years, and have been working in the payments industry since 2015.",Alex Vilhena,"Raised between Brazil and the US, and spent last 7 years across US and Europe working for tech companies.",,,,
Stownest,Sudhindra Subbarao,"Engineer by Qualification. Explorer at heart.

- Co-Founder & CEO of Stownest Storage
- 15 years in Product Development & Customer Engineering in HPE
- Founded Wild Wanderers Adventures",Ramesh Chincholi,,AMIETH KUMAR,,Srinivasa Murthy,,,
Filadd,Guillermo Bruchmann,"I am passionate for Digital Products and User Experience Design. I have a full stack software developer background which allows me to design digital products that are quick to implement, while having in mind both the user and the business requirements. Currently I am CPO at Filadd.",Nicolás Ferrer,"I graduated from Industrial Engineering in 2018, but then I realized that what I really liked the most and was good at was Marketing and Product Management. That year with some colleagues we founded Filadd, a startup that produces and sells online courses for university entrants in Latin America.",Agustin Trombotto,"I love Technologies. I always try to be up to date with the latest tech tends and good practices.
I have double titulation in Bachelor of Applied Sciences and Computer Engineering.
When I was in college, I wanted to use my learned skills to create a solution for students. From that moment, I started to build FIladd. Currently I am CTO of the company.",Joaquin olmedo,"Industrial Engineer- CEO - I'm passionate about technology and people management. I don't really know why I founded Filadd, but helping young people through their process of becoming adults make me proud and is the fuel I need to make the company grow",,
Dime,Aaron Barbieri-Aghib,Ben Share,,,,,,,,
PAYZE,Kakha Gelashvili,"Software engineer, dropout from Caucasus School Of Technology, experience building and managing software for financial institutions. Founded Payze, where we are transforming payments in CIS region.",Giorgi Tsurtsumia,"Graduate of United States Naval Academy with a Degree in Ocean Engineering. A problem solver by practice with Entrepreneurial vision. In past 5 years’ experience of working on one of the most complex technical projects in the region (Development of Anaklia Deep Water Sea Port & smart city), managing all engineering related operations starting from feasibility studies to engineering of hydraulic structures, leading multicultural technical team.",,,,,,
Female Invest,Emma Bitz,I am a co-Founder of Female Invest - a social e-learning platform for investing.,Camilla Falkenberg,I am a co-Founder of Female Invest - a social e-learning platform for investing.,Anna-Sophie Hartvigsen,"I am a Co-Founder of Female Invest, Europe's leading financial educator targeting women.",,,,
Siglo Network,Isaac Phillips,"From Colorado living in Mexico City. Interested in wireless, digital inclusion, blockchain, financial inclusion, and ed-tech. I love mountains, history, dogs, remote villages, and megacities. Founder of Siglo, previously at Pig.gi, Dish Mexico, & Echostar.",Joel Phillips,"Founder Siglo (S21), Latam, Columbia Economics, Previously Pig.gi, WhisperShout.

Passion for solving problems in emerging markets with technology.",,,,,,
Buoyant,Joe Figura,Aerospace engineer focused on using things that fly to solve the problems of remote communities.,Benjamin Claman,,,,,,,
Bedrock AI,Kris Bennatti,"Kris has deep expertise in both machine learning and financial markets. She a chartered accountant, an avid and prolific programmer and a statistician. Her area of expertise is the application of AI to long-form text in corporate disclosure and securities filings.",Heather Judd,"Heather is a CPA with a B.Sc in Mathematics and Statistics from McGill. She is a technical accounting nerd. Previously she was the Financial Reporting Manager at Hootsuite, an external auditor at EY, and a MCAT instructor.",Suhas Pai,,,,,
Greenwork,Gautam Jayaraman,"I'm currently focused on software and product at Greenwork (S21), where we're using online learning to develop the clean workforce.

In the recent past I've worked on marketplaces with SMBs and local workers (DoorDash, Rickshaw), and experimented with how the marketplace evolves when software/robotics are added in.

This is my third time going through YC and I'm glad to be back!",Sam Steyer,"Hello! I'm a Cofounder and CEO of Greenwork. Before Greenwork, I worked on my dad Tom Steyer's 2020 presidential campaign in the Democratic Primary, and focused heavily on climate change policy. Before the campaign, I was a Cofounder and Head of Analytics at Station A. I spent the earlier years of my career in data science roles in cliamtetech. I'm originally from San Francisco and very lucky to live here now with my wife, son and dog, Jasper.",,,,,,
